name,description,type,level,lessonNum,hoursForLearn,usedNum,recommendNum,lesson,subLesson,sort,useModule,useCollection,dataExtractCondition
"Cặp từ vựng trái nghĩa N2 tập 1","Học theo các cặp từ trái nghĩa rất dễ thuộc dễ nhớ","vocabulary","N2","20","","","","Bài 1","Từ vựng","1","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson1,'}}"
"","","","","","","","","Bài 2","Từ vựng","2","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson2,'}}"
"","","","","","","","","Bài 3","Từ vựng","3","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson3,'}}"
"","","","","","","","","Bài 4","Từ vựng","4","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson4,'}}"
"","","","","","","","","Bài 5","Từ vựng","5","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson5,'}}"
"","","","","","","","","Bài 6","Từ vựng","6","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson6,'}}"
"","","","","","","","","Bài 7","Từ vựng","7","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson7,'}}"
"","","","","","","","","Bài 8","Từ vựng","8","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson8,'}}"
"","","","","","","","","Bài 9","Từ vựng","9","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson9,'}}"
"","","","","","","","","Bài 10","Từ vựng","10","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson10,'}}"
"","","","","","","","","Bài 11","Từ vựng","11","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson11,'}}"
"","","","","","","","","Bài 12","Từ vựng","12","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson12,'}}"
"","","","","","","","","Bài 13","Từ vựng","13","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson13,'}}"
"","","","","","","","","Bài 14","Từ vựng","14","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson14,'}}"
"","","","","","","","","Bài 15","Từ vựng","15","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson15,'}}"
"","","","","","","","","Bài 16","Từ vựng","16","vocabulary","vocabulary","{'level': 'N2', 'tag' : {'contains':',trainghia1,lesson16,'}}"
