"～として（は）／～としても／～としての","＜立場、資格、種類をはっきり言う。＞:Nói về lập trường, tư cách, chủng loại","[名]＋として","彼は国費留学生として日本へ来た。:Anh ấy đã đến Nhật với tư cách là lưu học sinh ngân sách nhà nước<br>この病気は難病として認定された。:Căn bệnh này được nhận định là một bệnh nan y.<br>彼は医者であるが、小説家としても有名である。:Tuy ông ấy là một bác sĩ, nhưng cũng nổi tiếng với tư cách là một tiểu thuyết gia.<br>あの人は学者としては立派だが、人間としては尊敬できない。:Người kia tuy là một học giả xuất sắc, nhưng là một con người không đáng kính trọng.<br>日本はアジアの一員としての役割を果たさなければならない。:Nhật Bản phải đóng vài trò như là một thành viên của Châu Á.","N2","1",",173nguphapn2,lesson1,",""
"～とともに(1)","～と一緒に:Cùng với...","[名]＋とともに","お正月は家族とともに過ごしたい。:Tôi muốn ăn Tết cùng gia đình.<br>大阪は東京とともに日本経済の中心地である。:Osaka cùng với Tokyo là các trung tâm kinh tế của Nhật.","N2","2",",173nguphapn2,lesson1,",""
"～とともに(2)","～であると同時に:Cùng đồng thời với…","[動-辞書形],[い形-い],[な形-である],[名-である] +とともに","小林氏は、学生を指導するとともに、研究にも力を入れている。:Cùng với việc hướng dẫn sinh viên, ông Kobayashi còn tận lực trong nghiên cứu.<br>代表に選ばれなくてくやしいとともに、ほっとする気持ちもあった。:Vừa tiếc vì không được chọn làm đại biểu, tôi cũng thấy bớt căng thẳng hơn.<br>この製品の開発は、困難であるとともに、費用がかかる。:Việc phát triển sản phẩm này, cùng với những khó khăn còn tốn chi phí nữa.<br>義務教育は、国民の義務であるとともに、権利でもある。:Giáo dục phổ cập vừa là nghĩa vụ, còn là quyền lợi của nhân dân.","N2","3",",173nguphapn2,lesson1,",""
"～とともに(3)","一つの変化と一緒に、別の変化が起こる。:Cùng với một sự thay đổi, một sự thay đổi khác diễn ra.","[動-辞書形],[名] ＋とともに","年をとるとともに、体力が衰える。:Cùng với tuổi cao, thể lực cũng yếu đi.<br>自動車が普及するとともに、交通事故も増えてきた。:Cùng với việc ô tô trở nên phổ biến, tai nạn giao thông cũng tăng lên.<br>経済成長とともに、国民の生活も豊かになった。:Cùng với tăng trưởng kinh tế, đời sống nhân dân cũng sung túc hơn.","N2","4",",173nguphapn2,lesson1,",""
"～において（は）／～においても／～における","～で（場所・時間を示す。）:Ở, tại, trong, về việc, đối với -> Chỉ địa điểm, thời gian","[名]＋において","会議は第一会議室において行われる。:Hội nghị được tổ chức ở phòng họp số 1.<br>現代においては、コンピューターは不可欠なものである。:Ngày nay, máy tính là vật không thể thiếu được.<br>我が国においても、青少年の犯罪が増えている。:Ở nước ta cũng thế, tội phạm thanh thiếu niên đang tăng lên.<br>それは私の人生における最良の日であった。:Đó là ngày đẹp nhất đời tôi.","N2","5",",173nguphapn2,lesson1,",""
"～に応じて／～に応じ／～に応じた","～にしたがって・～に適している:Phụ thuộc vào, ứng với","[名]＋に応じて","保険金は被害状況に応じて、払われる。:Tiền bảo hiểm sẽ được trả tuỳ theo tình trạng thiệt hại.<br>季節に応じ、体の色を変えるウサギがいる。:Có loại thỏ mà màu sắc cơ thể biến đổi theo mùa.<br>無理をしないで体力に応じた運動をしてください。:Hãy vận động tuỳ theo thể lực, đừng quá sức.","N2","6",",173nguphapn2,lesson1,",""
"～にかわって／～にかわり(1)","今までの～ではなく（今までに使われていたものが別のものに変わることを表す。）:Bây giờ thì ~ không.... (Biểu thị việc thay đổi một thứ đã được sử dụng thành một thứ khác)","[名]＋にかわって","ここでは、人間にかわってロボットが作業をしている。:Ở đây, robot đang làm việc thay cho con người.<br>今はタイプライターにかわり、ワープロが使われている。:Bây giờ, thay cho bàn đánh máy, máy vi tính (đánh chữ) được sử dụng.","N2","7",",173nguphapn2,lesson1,",""
"～にかわって／～にかわり(2)","～の代理で（ほかの人の代わりにすることを表す。）:Đại lý, đại diện (Biểu thị việc làm đại diện cho một người khác)","[名]＋にかわって","父にかわって、私が結婚式に出席しました。:Tôi đã đi đám cưới thay cho bố.<br>首相にかわり、外相がアメリカを訪問した。:Thay mặt cho thủ tướng, bộ trưởng ngoại giao đã đi thăm Mỹ.","N2","8",",173nguphapn2,lesson1,",""
"～に比べて／～に比べ","～を基準にして程度の違いなどを言う。:So với.... ; Nói về mức độ khác nhau so với ~ lấy làm tiêu chuẩn.","[名]＋に比べて","兄に比べて、弟はよく勉強する。:So với anh trai, ông em học chăm hơn.<br>諸外国に比べて、日本は食料品が高いと言われている。:So với ngoại quốc, giá thực phẩm ở Nhật được cho là cao.<br>今年は去年に比べ、雨の量が多い。:Năm nay so với năm ngoái thì lượng mưa nhiều hơn.","N2","9",",173nguphapn2,lesson1,",""
"～にしたがって／～にしたがい 従い／したがい","～と一緒に （一方の変化とともに他方も変わることを表す。 ）:Cùng với ~ (Biểu thị việc cùng với sự thay đổi theo một hướng nào đó, một hướng khác cũng thay đổi)","[動－辞書形],[名] ＋にしたがって","高く登るにしたがって、見晴らしがよくなった。:Khi lên cao, tầm nhìn cũng rõ hơn.<br>工業化が進むにしたがって、自然環境の破壊が広がった。:Cùng với sự tiến triển của công nghiệp hoá, sự phá hoại môi trường tự nhiên ngày càng lan rộng.<br>電気製品の普及にしたがって、家事労働が楽になった。:Theo sự phổ cập của đồ điện máy, việc nhà cũng nhàn nhã hơn.<br>試験が近づくにしたがい、緊張が高まる。:Khi kỳ thi càng đến gần, độ căng thẳng càng cao (càng thấy căng thẳng hơn).","N2","10",",173nguphapn2,lesson1,",""
